"f07_hh_id","s08_heads_child_cnt","s08_girls_cnt","s08_age_cnt","s08_duration_village_cnt","s08_age_head_cnt","s08_yrs_ed_head_cnt","s08_num_ppl_hh_cnt","s08_jeribs_cnt","s08_num_sheep_cnt","s08_farsi_cnt","s08_tajik_cnt","s08_farmer_cnt","s08_test_observed","f07_heads_child_cnt","f07_girl_cnt","f07_age_cnt","f07_age_head_cnt","f07_yrs_ed_head_cnt","f07_jeribs_cnt","f07_num_sheep_cnt","f07_duration_village_cnt","f07_farsi_cnt","f07_tajik_cnt","f07_farmer_cnt","f07_num_ppl_hh_cnt","f07_test_observed","f07_observed","s08_observed","treatment","clustercode","chagcharan","f07_formal_school","s08_formal_school","f07_nearest_scl","s08_nearest_scl","f07_both_norma_total","s08_both_norma_total","s08_hh_id","observation_id"
"V01.K02",1,1,8,30,36,6,8,1,10,0,1,0,1,1,1,7,30,6,0,0,35,1,0,0,6,1,1,1,1,5,1,1,1,4.09720516204834,4.0982871055603,-0.65545779466629,2.02133798599243,"V01.C02N",1
"V01.K02",1,1,6,30,36,6,8,1,10,0,1,0,1,1,1,9,30,6,0,0,35,1,0,0,6,1,1,1,1,5,1,1,1,4.09720516204834,4.0982871055603,0.819813132286072,-0.301419526338577,"V01.C02N",2
"V01.M01",1,1,11,13,35,0,2,0,8,1,0,0,1,1,1,11,35,0,0,10,35,0,0,0,3,1,1,1,1,5,1,1,1,4.16959095001221,4.2180757522583,1.49039089679718,0.900006771087646,"V01.L01N",3
"V01.H02",1,0,10,25,35,5,10,2,0,0,1,1,1,1,0,8,40,0,1,20,15,1,0,1,10,1,1,1,1,5,1,1,1,4.18352222442627,4.18442916870117,1.3562753200531,0.739816606044769,"V01.L02N",4
"V01.H02",1,1,9,25,35,5,10,2,0,0,1,1,1,1,1,8,40,0,1,20,15,1,0,1,10,1,1,1,1,5,1,1,1,4.18352222442627,4.18442916870117,0.417466521263123,0.739816606044769,"V01.L02N",5
"V01.H02",1,1,8,25,35,5,10,2,0,0,1,1,1,1,1,7,40,0,1,20,15,1,0,1,10,1,1,1,1,5,1,1,1,4.18352222442627,4.18442916870117,0.0151199074462056,0.259246081113815,"V01.L02N",6
"V01.E01",1,0,10,50,50,3,11,1,30,0,0,1,0,1,0,8,50,5,1,20,50,0,0,1,9,1,1,1,1,5,1,1,1,4.09092378616333,4.09658336639404,1.49039089679718,NA,"V01.L04N",7
"V01.E01",1,0,8,50,50,3,11,1,30,0,0,1,1,1,0,7,50,5,1,20,50,0,0,1,9,1,1,1,1,5,1,1,1,4.09092378616333,4.09658336639404,1.3562753200531,0.81991171836853,"V01.L04N",8
"V01.E01",1,1,7,50,50,3,11,1,30,0,0,1,1,1,1,6,50,5,1,20,50,0,0,1,9,1,1,1,1,5,1,1,1,4.09092378616333,4.09658336639404,-0.253111183643341,-0.0611342713236809,"V01.L04N",9
"V01.R01",1,1,8,15,35,3,8,1,0,0,0,1,1,1,1,8,28,2,0,0,20,0,0,0,7,1,1,1,1,5,1,1,1,4.20382690429688,4.20277786254883,1.75862193107605,1.62086260318756,"V01.M01N",10
"V01.R01",1,1,7,15,35,3,8,1,0,0,0,1,1,1,1,7,28,2,0,0,20,0,0,0,7,1,1,1,1,5,1,1,1,4.20382690429688,4.20277786254883,1.3562753200531,1.06019699573517,"V01.M01N",11
"V01.R01",1,0,11,15,35,3,8,1,0,0,0,1,1,1,0,10,28,2,0,0,20,0,0,0,7,1,1,1,1,5,1,1,1,4.20382690429688,4.20277786254883,2.160968542099,2.66209864616394,"V01.M01N",12
"V01.K03",1,1,8,53,53,0,7,0,20,0,1,1,1,1,1,8,48,0,10,30,50,0,1,1,7,1,1,1,1,5,1,1,1,4.12232542037964,4.10360240936279,0.417466521263123,0.900006771087646,"V01.M02N",13
